Chr	From	To	Copia	Gypsy	unknown	Total_LTR
whole_genome	1	45560558	0.0123	0.0499	0.0017	0.0639
chr4	1	3000000	0.0254	0.0572	0.0025	0.0851
chr4	300001	3300000	0.0257	0.0997	0.0025	0.1278
chr4	600001	3600000	0.0256	0.1490	0.0025	0.1770
chr4	900001	3900000	0.0262	0.1945	0.0025	0.2231
chr4	1200001	4200000	0.0291	0.2336	0.0025	0.2651
chr4	1500001	4500000	0.0287	0.2745	0.0025	0.3056
chr4	1800001	4800000	0.0302	0.2965	0.0031	0.3297
chr4	2100001	5100000	0.0304	0.3167	0.0030	0.3501
chr4	2400001	5400000	0.0227	0.3273	0.0046	0.3546
chr4	2700001	5700000	0.0218	0.3325	0.0046	0.3589
chr4	3000001	6000000	0.0370	0.3099	0.0024	0.3493
chr4	3300001	6300000	0.0389	0.2670	0.0025	0.3083
chr4	3600001	6600000	0.0418	0.2203	0.0025	0.2646
chr4	3900001	6900000	0.0434	0.1748	0.0025	0.2207
chr4	4200001	7200000	0.0416	0.1357	0.0029	0.1802
chr4	4500001	7500000	0.0411	0.0948	0.0046	0.1405
chr4	4800001	7800000	0.0373	0.0578	0.0040	0.0991
chr4	5100001	8100000	0.0324	0.0209	0.0057	0.0590
chr4	5400001	8400000	0.0305	0.0097	0.0040	0.0441
chr4	5700001	8700000	0.0284	0.0047	0.0040	0.0369
chr4	6000001	9000000	0.0125	0.0037	0.0039	0.0201
chr4	6300001	9300000	0.0128	0.0036	0.0038	0.0202
chr4	6600001	9600000	0.0110	0.0024	0.0055	0.0189
chr4	6900001	9900000	0.0099	0.0024	0.0055	0.0178
chr4	7200001	10200000	0.0081	0.0024	0.0069	0.0174
chr4	7500001	10500000	0.0081	0.0024	0.0051	0.0156
chr4	7800001	10800000	0.0080	0.0016	0.0051	0.0147
chr4	8100001	11100000	0.0096	0.0016	0.0054	0.0167
chr4	8400001	11400000	0.0101	0.0017	0.0054	0.0172
chr4	8700001	11700000	0.0117	0.0016	0.0054	0.0186
chr4	9000001	12000000	0.0117	0.0034	0.0054	0.0205
chr4	9300001	12300000	0.0099	0.0034	0.0053	0.0187
chr4	9600001	12600000	0.0086	0.0020	0.0036	0.0143
chr4	9900001	12900000	0.0077	0.0020	0.0036	0.0134
chr4	10200001	13200000	0.0077	0.0020	0.0019	0.0117
chr4	10500001	13500000	0.0074	0.0020	0.0019	0.0113
chr4	10800001	13800000	0.0087	0.0019	0.0019	0.0126
chr4	11100001	14100000	0.0070	0.0019	0.0000	0.0089
chr4	11400001	14400000	0.0066	0.0019	0.0000	0.0084
chr4	11700001	14700000	0.0049	0.0019	0.0000	0.0068
chr4	12000001	15000000	0.0048	0.0000	0.0000	0.0048
chr4	12300001	15300000	0.0042	0.0000	0.0000	0.0042
chr4	12600001	15600000	0.0042	0.0014	0.0000	0.0056
chr4	12900001	15900000	0.0039	0.0014	0.0000	0.0053
chr4	13200001	16200000	0.0039	0.0014	0.0000	0.0053
chr4	13500001	16500000	0.0039	0.0014	0.0000	0.0053
chr4	13800001	16800000	0.0018	0.0014	0.0000	0.0032
chr4	14100001	17100000	0.0018	0.0014	0.0000	0.0032
chr4	14400001	17400000	0.0000	0.0014	0.0000	0.0014
chr4	14700001	17700000	0.0004	0.0014	0.0000	0.0018
chr4	15000001	18000000	0.0011	0.0014	0.0000	0.0025
chr4	15300001	18300000	0.0011	0.0014	0.0000	0.0025
chr4	15600001	18585056	0.0011	0.0000	0.0000	0.0011
chr5	1	3000000	0.0031	0.0000	0.0000	0.0031
chr5	300001	3300000	0.0010	0.0001	0.0000	0.0011
chr5	600001	3600000	0.0009	0.0001	0.0000	0.0010
chr5	900001	3900000	0.0009	0.0001	0.0000	0.0010
chr5	1200001	4200000	0.0008	0.0010	0.0000	0.0018
chr5	1500001	4500000	0.0025	0.0010	0.0000	0.0034
chr5	1800001	4800000	0.0025	0.0023	0.0000	0.0048
chr5	2100001	5100000	0.0025	0.0023	0.0000	0.0048
chr5	2400001	5400000	0.0025	0.0023	0.0000	0.0048
chr5	2700001	5700000	0.0033	0.0024	0.0000	0.0056
chr5	3000001	6000000	0.0038	0.0024	0.0000	0.0062
chr5	3300001	6300000	0.0038	0.0023	0.0000	0.0061
chr5	3600001	6600000	0.0068	0.0023	0.0000	0.0091
chr5	3900001	6900000	0.0068	0.0023	0.0000	0.0091
chr5	4200001	7200000	0.0069	0.0014	0.0000	0.0082
chr5	4500001	7500000	0.0053	0.0014	0.0000	0.0067
chr5	4800001	7800000	0.0053	0.0000	0.0000	0.0053
chr5	5100001	8100000	0.0055	0.0000	0.0000	0.0055
chr5	5400001	8400000	0.0055	0.0000	0.0000	0.0055
chr5	5700001	8700000	0.0059	0.0005	0.0000	0.0064
chr5	6000001	9000000	0.0078	0.0009	0.0003	0.0090
chr5	6300001	9300000	0.0091	0.0041	0.0003	0.0135
chr5	6600001	9600000	0.0080	0.0041	0.0018	0.0139
chr5	6900001	9900000	0.0083	0.0067	0.0018	0.0168
chr5	7200001	10200000	0.0137	0.0120	0.0018	0.0274
chr5	7500001	10500000	0.0158	0.0188	0.0035	0.0380
chr5	7800001	10800000	0.0191	0.0360	0.0035	0.0586
chr5	8100001	11100000	0.0210	0.0518	0.0035	0.0763
chr5	8400001	11400000	0.0226	0.0969	0.0035	0.1230
chr5	8700001	11700000	0.0261	0.1378	0.0050	0.1689
chr5	9000001	12000000	0.0236	0.1841	0.0047	0.2124
chr5	9300001	12300000	0.0249	0.2385	0.0047	0.2680
chr5	9600001	12600000	0.0245	0.2744	0.0037	0.3025
chr5	9900001	12900000	0.0262	0.3004	0.0037	0.3302
chr5	10200001	13200000	0.0217	0.3350	0.0037	0.3602
chr5	10500001	13500000	0.0218	0.3461	0.0023	0.3700
chr5	10800001	13800000	0.0209	0.3340	0.0023	0.3569
chr5	11100001	14100000	0.0250	0.3197	0.0023	0.3467
chr5	11400001	14400000	0.0265	0.2756	0.0023	0.3042
chr5	11700001	14700000	0.0226	0.2343	0.0036	0.2603
chr5	12000001	15000000	0.0241	0.1877	0.0036	0.2152
chr5	12300001	15300000	0.0243	0.1314	0.0040	0.1595
chr5	12600001	15600000	0.0236	0.0999	0.0035	0.1269
chr5	12900001	15900000	0.0278	0.0716	0.0037	0.1030
chr5	13200001	16200000	0.0275	0.0328	0.0037	0.0639
chr5	13500001	16500000	0.0252	0.0149	0.0037	0.0437
chr5	13800001	16800000	0.0231	0.0098	0.0037	0.0366
chr5	14100001	17100000	0.0193	0.0083	0.0037	0.0313
chr5	14400001	17400000	0.0163	0.0076	0.0037	0.0275
chr5	14700001	17700000	0.0191	0.0074	0.0008	0.0273
chr5	15000001	18000000	0.0177	0.0076	0.0009	0.0261
chr5	15300001	18300000	0.0180	0.0063	0.0006	0.0248
chr5	15600001	18600000	0.0186	0.0019	0.0006	0.0210
chr5	15900001	18900000	0.0124	0.0015	0.0003	0.0143
chr5	16200001	19200000	0.0138	0.0005	0.0003	0.0147
chr5	16500001	19500000	0.0146	0.0005	0.0001	0.0153
chr5	16800001	19800000	0.0142	0.0005	0.0001	0.0149
chr5	17100001	20100000	0.0119	0.0005	0.0001	0.0126
chr5	17400001	20400000	0.0119	0.0002	0.0001	0.0122
chr5	17700001	20700000	0.0079	0.0002	0.0001	0.0082
chr5	18000001	21000000	0.0078	0.0001	0.0000	0.0078
chr5	18300001	21300000	0.0048	0.0001	0.0000	0.0049
chr5	18600001	21600000	0.0043	0.0000	0.0000	0.0043
chr5	18900001	21900000	0.0044	0.0000	0.0000	0.0044
chr5	19200001	22200000	0.0041	0.0000	0.0000	0.0041
chr5	19500001	22500000	0.0033	0.0000	0.0000	0.0033
chr5	19800001	22800000	0.0050	0.0000	0.0000	0.0050
chr5	20100001	23100000	0.0053	0.0000	0.0017	0.0070
chr5	20400001	23400000	0.0064	0.0000	0.0018	0.0082
chr5	20700001	23700000	0.0062	0.0000	0.0018	0.0080
chr5	21000001	24000000	0.0062	0.0000	0.0018	0.0080
chr5	21300001	24300000	0.0062	0.0000	0.0018	0.0079
chr5	21600001	24600000	0.0054	0.0000	0.0018	0.0071
chr5	21900001	24900000	0.0053	0.0000	0.0018	0.0070
chr5	22200001	25200000	0.0036	0.0000	0.0018	0.0054
chr5	22500001	25500000	0.0035	0.0000	0.0018	0.0053
chr5	22800001	25800000	0.0019	0.0000	0.0018	0.0037
chr5	23100001	26100000	0.0016	0.0000	0.0001	0.0016
chr5	23400001	26400000	0.0010	0.0000	0.0000	0.0010
chr5	23700001	26700000	0.0008	0.0000	0.0000	0.0008
chr5	24000001	26975502	0.0008	0.0000	0.0000	0.0008
